ID,consentimiento,sexo,edad,universidad,disciplina_OCDE,sede,frecuencia_uso_ChatGPT,CT1,CT2,CT3,CT4,CT5,CT6,EC1,EC2,EC3,EC4,EC5,EC6,CC1,CC2,CC3,CC4,CC5,AC1,AC2,AC3,AC4,HE1,HE2,HE3,HE4,pregunta,aceptacion,comprension,satisfaccion,usa_ChatGPT
131,SI,Femenino,20,Universidad A,Ciencias Sociales,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),3,1,3,1,1,3,3,3,3,3,3,3,4,4,4,4,4,1,2,1,2,3,3,3,3,Lo uso en mometosen donde no comprendo que tengo que hacer  ni cuando el profesor o mis pares meexplican  asi que lo pongo en chat gpt para que me explique en palabras simples que es lo que se refiere que tengo qie hacer en esta tarea. ,4,4,4,SI
132,SI,Masculino,21,Universidad A,Medicina y Ciencias de La Salud,Concepción,C. Lo utilizo con frecuencia (4–5 veces al mes),3,3,4,1,2,3,2,2,3,2,4,1,3,4,2,3,4,4,4,4,4,4,3,2,3,,4,4,4,SI
133,SI,Femenino,20,Universidad A,Ciencias Sociales,Viña del Mar,C. Lo utilizo con frecuencia (4–5 veces al mes),3,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Para darme sinonimos  antonimos  buscar ejemplo de aquellas materias que nonpuedo entender  lo que mas ocupo es hacer pregubtas y respuestas para ayudarme a estudiar para mis cátedras.,4,4,4,SI
134,SI,Femenino,19,Universidad A,Ciencias Agrícolas,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,1,4,2,2,2,3,4,4,4,4,2,3,3,2,3,3,4,4,2,2,5,2,3,5,Lo utilizo principalmente cuando tengo dudas y/o no recuerdo algo en específico que no logro encontrar en Google  he tenido problemas con resoluciones de problemas matemáticos ya que no me dan la respuesta correcta  por lo que no me ayuda para estudiar en ese caso.,3,3,4,SI
135,SI,Masculino,56,Universidad A,Ciencias Sociales,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,solo busco informacion no respuestas,3,3,3,SI
136,SI,Femenino,25,Universidad A,Ciencias Sociales,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),5,2,2,3,3,4,4,4,3,4,3,3,4,5,5,4,5,4,3,3,2,4,2,4,3,"Le pedí ayuda en un ítems específico de mi tesis que me causaba dificultad 
  pero realmente no logro hacerlo así que tuve que realizarlo por mi cuenta ya que las fuentes utilizadas no eran confiables y se expandía mucho en el tema en ver de especificarlo. Creo que ChatGPT es más de uso general que específico. ",3,4,2,SI
137,SI,Masculino,21,Universidad A,Ciencias Sociales,Santiago,E. Lo utilizo menos de dos veces al mes,2,3,4,3,3,2,4,5,4,5,3,4,3,3,3,3,3,2,2,3,2,4,3,2,4,La ocasión en la que utilicé ChatGPT fue para la corregir la redacción de un texto o para saber qué sinónimos son más apropiados para lo que escribo. Sin embargo  la herramienta muchas veces pasa errores pequeños o si no se le especifica a detalle la tarea que uno quiere  lo interpreta de manera libre. Aunque creo que se le puede dar un uso en el ámbito académico  siento que funciona mucho mejor para tiempo de ocio o acceder información general. ,3,3,2,SI
138,SI,Masculino,18,Universidad A,Ciencias Sociales,Concepción,B. Lo utilizo casi a diario (5–6 veces a la semana o más),5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,,4,4,4,SI
139,SI,Masculino,31,Universidad A,Ciencias Agrícolas,A distancia,A. Lo utilizo tanto como puedo (al menos una vez al día),5,4,5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,"Cuando estoy estancado con alguna idea  he usado ChatGPT como guía creativa para recomendarme temas sobre los cuales tengo que desarrollar trabajos y proyectos. Es importante estar analizando las respuestas que da  ya que no siempre son 100% confiables  sin embargo  hallo que actúa como una ""fuente de inspiración""  trayendo a la mesa tópicos interesantes sobre los cuales puedo trabajar. ",4,4,4,SI
140,SI,Femenino,20,Universidad A,Medicina y Ciencias de La Salud,Viña del Mar,E. Lo utilizo menos de dos veces al mes,3,2,2,2,1,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,Para realizar un diálogo en una presentación  en realidad me sirvió bastante ya que no se me ocurría como podía empezar la presentación. ,2,2,2,SI
141,SI,Masculino,20,Universidad A,Ciencias Agrícolas,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),4,3,4,4,2,3,4,4,4,5,4,3,5,4,5,5,5,4,2,3,4,3,4,4,5,La e usado para tareas que tengan que ver con información compleja y bueno actúa como profesor le explico lo que no entiendo y el me lo dice  en ética bueno yo creo que el humano está hecho para el uso de cualquier herramienta desde que nosotros mismo las inventamos algo tan simple como un martillo o serrucho. La Internet a ayudado a muchos en estos años y lo seguirá haciendo con la ia,3,3,4,SI
142,SI,Femenino,41,Universidad A,Ciencias Agrícolas,Santiago,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Yo nunca e utilizado chatgpt ni siquiera sabía que esto existía.
Y no se lo que es",1,1,1,NO
143,SI,Femenino,50,Universidad A,Medicina y Ciencias de La Salud,A distancia,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,Solo lo he ocupado para dar respuesta a algunas solicitudes ciudadanas en el trabajo pero considero que es una herramienta que puede llegar a limitar el desarrollo intelectual del individuo.,1,1,1,NO
144,SI,Femenino,28,Universidad A,Ciencias Sociales,Concepción,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,1,3,1,3,2,3,1,1,1,3,3,2,1,2,2,2,5,5,5,5,5,3,3,2,Utilice chat gp en un trabajo  nada más como orientación  cero posibilidad de copiar y pegar  al menos para mi  siento que si bien es una herramienta poderosisima  a la vez destruye la capacidad de investigación de los estudiantes al entregar todo hecho ,2,2,3,SI
145,NO,Masculino,23,Universidad A,Ciencias Agrícolas,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No utilizo esa aplicación/página o lo que sea  porque no me gusta y prefiero investigar por mi cuenta y sacar mis propias conclusiones ,1,1,1,NO
146,SI,Femenino,26,Universidad A,Medicina y Ciencias de La Salud,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Para realizar introducciones y conclusiones ,4,4,4,SI
147,SI,Femenino,23,Universidad A,Ciencias Sociales,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,4,Lo he ocupado para mejorar la gramatica de mis trabajos universitarios  pero claro si te guias totalmente por la respuesta que te da el chat es muy totalitario  ya que si tomas la respuesta literal tiene un margen de error un poco alto,4,4,4,SI
148,SI,Femenino,39,Universidad A,Medicina y Ciencias de La Salud,Santiago,E. Lo utilizo menos de dos veces al mes,2,2,3,2,3,2,2,2,1,2,2,2,2,2,2,2,1,3,2,2,3,1,2,2,2,,1,1,2,NO
149,SI,Femenino,32,Universidad A,Ciencias Sociales,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),2,1,2,1,2,3,2,2,2,2,4,3,3,2,3,3,3,3,2,2,2,4,4,4,4,Utilizar el recurso de chat GPT  es en gran medida es para disipar dudas teóricas  ver otras perspectivas de una temática  nunca su uso ha sido para ser mal utilizado.,3,3,3,SI
150,SI,Masculino,43,Universidad A,Ciencias Agrícolas,A distancia,A. Lo utilizo tanto como puedo (al menos una vez al día),5,5,5,2,3,3,4,4,4,4,4,3,5,5,5,5,5,4,4,5,5,5,3,4,5,(1) Uso académico: Lo usé para indentificar hipótesis potenciales que podrían plantearse en base a los datos que recopilé para mi tesis. (2) Limitaciones: Las hipótesis no estaban completas  asi que las modifiqué. (3) Beneficios: No obstante  las hipótesis planteadas por ChatGPT fueron de gran ayuda para establecer una base sobre la que trabajar. (4) Consideraciones éticas: en la metodología de la tesis mencionaré que se usó ChatGPT para explorar hipótesis potenciales. Pienso que no está mal usar éticamente esta herramienta y no tengo problemas en reconocer y declarar su uso cuando corresponde.,4,4,4,SI
151,SI,Femenino,22,Universidad A,Ciencias Agrícolas,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),4,3,4,3,5,5,5,3,3,4,5,4,4,5,5,5,5,5,4,4,5,2,2,2,5,He usado Chatgpt para diversas cosas académicas  pero recuerdo una en específico  cuando tenía que hacer un informe de un proyecto creado por mi de Veterinaria  necesitaba análisis como Pester  Foda  etc. Y chatgpt me ayudó muchísimo  donde le pedía exactamente lo que necesitaba  con lenguaje veterinario  y fue muy preciso en lo que pedía  siempre me entendía y me daba lo mejor de mis ideas  que no podía desarrollar como chatpgt ,4,4,4,SI
152,SI,Masculino,45,Universidad A,Ingeniería y Tecnología,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),2,3,3,3,2,3,4,5,5,5,5,3,4,4,4,4,4,5,4,4,5,4,3,3,5,En mi caso particular  utilizo la plataforma para estudiar  generar resúmenes puntuales  mapas conceptuales  y ahorrar tiempo. En el ámbito profesional lo utilizo como asistente virtual  solicitando su ayudada en la generación de procesos o recordatorio de materias y herramientas olvidadas. En fin es una muy buena herramienta cuando se trata de apoyar mis labores.,4,4,4,SI
153,SI,Masculino,19,Universidad A,Ciencias Agrícolas,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),4,1,1,2,4,5,3,2,3,2,3,4,3,4,2,4,5,4,2,3,4,1,3,3,4,En buscar el significado de algunos terminos relacionados con la ecologia y sustentabilida de la agricultura y con el desarrollo de los organismo vivos en la botánica.,3,4,3,SI
154,SI,Femenino,39,Universidad A,Ciencias Agrícolas,Santiago,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,Estaba cansada y no estaba segura de mi respuesta y la verifique pero alfinal no supe comprender la respuesta que me dio jajjajaja,1,1,1,NO
155,SI,Femenino,35,Universidad A,Ciencias Sociales,Viña del Mar,A. Lo utilizo tanto como puedo (al menos una vez al día),3,2,3,4,3,3,3,4,4,3,3,4,4,4,4,4,5,4,3,3,4,3,4,3,4,Ayuda a ver otra mirada  es como tener un compañero de estudio,4,3,3,SI
156,SI,Masculino,27,Universidad A,Medicina y Ciencias de La Salud,Concepción,C. Lo utilizo con frecuencia (4–5 veces al mes),5,4,5,3,5,5,4,4,3,3,4,3,5,5,5,5,5,4,4,4,4,3,3,3,4,,4,4,3,SI
157,SI,Femenino,19,Universidad A,Medicina y Ciencias de La Salud,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,2,3,2,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,Para estudiar fisiopatologia  realizando preguntas,3,3,3,SI
158,SI,Masculino,41,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,2,4,verificacion de guias resueltas v/s chat gpt,3,3,3,SI
159,SI,Femenino,23,Universidad A,Ciencias Agrícolas,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),1,1,1,1,3,3,4,5,4,5,5,5,4,4,4,4,4,4,3,3,3,5,4,5,5,"Solo uso ChatGPT para el estudio  generándome un pequeño cuestionario para responder de manera tradicional(a mano/escrito)  y lo he usado para mejorar el tema de mi forma/método de estudio. No lo he ocupado para otras cosas  ya que los trabajos que realizo prefiero hacerlos ""a la antigua"" investigando en diferentes lugares por internet y por libros.",3,1,2,SI
160,SI,Femenino,20,Universidad A,Ciencias Sociales,Viña del Mar,B. Lo utilizo casi a diario (5–6 veces a la semana o más),4,1,4,1,3,4,3,1,3,3,4,4,5,5,4,4,4,4,2,1,1,3,1,1,4,Utilice chat gpt para hacerle preguntas sobre investigación  hipotesis  diseños de investigación  muestreo  etc. Luego le pedí que me hiciera preguntas de prueba para luego responderselas y que me las corrigiera. Funcionó bien pero me saque un 5💀,4,4,4,SI
161,SI,Masculino,20,Universidad A,Ciencias Sociales,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,2,5,5,5,3,4,4,4,3,3,2,3,3,3,3,4,4,4,3,4,4,3,3,5,Hacer un trabajo de investigación relacionado a personas con TEA junto a muestras numéricas  tuvo limitaciones en algunas partes ya que el contenido de sus respuestas para buscar información tiende a confundirse y mezclarse con otras informaciones  simplemente la use para buscas sitios de información y verificar la concordancia de los datos  ya que puede ser de ayuda pero con la confusión de los datos que da a veces es mejor no dejar llevarse con la IA.,3,3,3,SI
162,SI,Femenino,21,Universidad A,Ciencias Sociales,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),4,3,3,3,4,4,3,4,3,4,4,2,3,3,4,4,4,4,4,4,4,5,4,4,5,Cuando no entiendo bien la materia le pido a ChatGPT que me la explique de manera más clara. ,3,3,3,SI
163,SI,Masculino,33,Universidad A,Medicina y Ciencias de La Salud,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,Para hacer casos de enfermería ,4,4,4,SI
164,SI,Masculino,21,Universidad A,Medicina y Ciencias de La Salud,Concepción,A. Lo utilizo tanto como puedo (al menos una vez al día),5,5,5,5,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,Usualmente lo utilizo para redactar mejor alguna idea o para que me explique algun texto,4,4,4,SI
165,SI,Femenino,18,Universidad A,Ciencias Sociales,Concepción,B. Lo utilizo casi a diario (5–6 veces a la semana o más),3,3,2,2,3,3,3,3,3,2,5,3,4,4,4,4,4,5,5,5,5,2,3,2,5,Le pregunto a chat gpt una manera de como puedo iniciar un ensayo  con que puntos puedo empezar lo que me da una idea para poder continuar. Chat gpt es una herramienta muy útil cuando se sabe utilizar,3,3,3,SI
166,SI,Masculino,24,Universidad A,Medicina y Ciencias de La Salud,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,Lo utilice para ayudarme en la realización de mi tesis  ayuda con informes  ayuda con gestión de proyectos y me ayuda en el día a día en mi trabajo como Inversor y Empresario de Suplementos e implementación Deportiva  éticamente si se sabe ajustar bien el nivel de respuesta que se aplica puede der super bueno aunque aveces tuve q pasarlo por filtros externos para una respuesta mas natural y humana  ChatGPT fue es y seguirá siendo mi mano derecha en mis negocios y mi vida diaria  la iA me ayudado en muchas cosas y espero siga así y siga mejorando día a día.,4,4,4,SI
167,SI,Femenino,26,Universidad A,Medicina y Ciencias de La Salud,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),5,3,5,5,5,5,4,5,5,4,4,5,4,4,4,5,5,5,4,4,5,4,4,4,5,Haciendo un informe   me otorgó toda la información  tenia que corroborar si la info me servia y no copiarla directo.,4,4,4,SI
168,SI,Femenino,28,Universidad A,Medicina y Ciencias de La Salud,Santiago,E. Lo utilizo menos de dos veces al mes,5,5,5,5,5,5,3,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,Escribí mis metas académicas para antes del 18 de noviembre  para antes de la defensa de tesis y a largo plazo y le pedí a chat gpt que generará un horario diario qué me llevara cumplir esas metas.,4,4,4,SI
169,SI,Femenino,25,Universidad A,Ciencias Sociales,Concepción,C. Lo utilizo con frecuencia (4–5 veces al mes),4,2,3,3,3,3,4,1,1,1,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,A veces para hacer preguntas sobre dudas q tengo respecto de la materia q estudio ,3,3,3,SI
170,SI,Femenino,22,Universidad A,Ciencias Sociales,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),2,2,1,1,2,3,3,3,3,4,3,3,3,3,4,4,3,2,3,3,3,4,3,4,4,,2,2,2,SI
171,SI,Femenino,24,Universidad A,Ciencias Sociales,Viña del Mar,C. Lo utilizo con frecuencia (4–5 veces al mes),4,4,4,4,3,4,3,4,4,4,3,3,3,4,4,4,3,2,2,3,3,4,3,3,4,Lo utilizo normalmente para que me brinde ideas ,3,3,3,SI
172,SI,Femenino,23,Universidad A,Medicina y Ciencias de La Salud,Santiago,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nunca eh utilizado ChatGPT,4,4,4,NO
173,SI,Femenino,22,Universidad A,Ciencias Sociales,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),3,2,2,2,3,2,3,2,2,3,5,4,3,3,3,3,3,2,2,3,3,3,3,3,3,sinceramente lo he utilizado para que me explique de mejor manera  más comprensible  algún contenido que no he entendido en alguna clase y me ha resultado bien.,3,3,3,SI
174,SI,Masculino,24,Universidad A,Ciencias Sociales,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),3,3,5,4,4,3,5,4,4,5,4,4,3,4,3,5,4,4,5,3,3,5,4,4,5,"En su mayoría fue uso legítimo para re formular oraciones  frases o la búsqueda de conceptos específicos relacionados a ciertas materia de la salud mental.
Una vez encontrados tales conceptos por ejemplo  utilizó el mismo ChatGPT para solicitar la fuente  verificar y ampliar el resultado de mi búsqueda. ",4,3,4,SI
175,SI,Femenino,20,Universidad A,Medicina y Ciencias de La Salud,Santiago,E. Lo utilizo menos de dos veces al mes,3,3,1,2,4,3,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,,3,3,3,SI
176,SI,Masculino,23,Universidad A,Medicina y Ciencias de La Salud,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),5,5,5,5,5,5,4,4,4,3,4,4,5,5,5,5,5,5,5,5,3,4,4,4,5,,3,3,3,SI
177,SI,Femenino,39,Universidad A,Ciencias Sociales,Santiago,E. Lo utilizo menos de dos veces al mes,3,3,3,3,3,2,2,1,1,1,1,1,2,2,2,3,3,2,3,2,3,4,4,3,4,,1,1,1,SI
178,SI,Femenino,22,Universidad A,Medicina y Ciencias de La Salud,Viña del Mar,B. Lo utilizo casi a diario (5–6 veces a la semana o más),3,2,2,2,1,1,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,2,1,2,He usado chatpgt en contextos académicos para ayudarme a entender mejor algún tema  materia o preguntas relacionadas a un ramo en particular. Es beneficioso en términos de que responde justamente lo que pregunto y tiene coherencia  pero también al ser tan preciso se encierra solo en un tipo de respuesta. Por esto mismo  lo uso solo en casos de estar muy perdida o sin ideas respecto a algún tema.,4,4,4,SI
179,SI,Femenino,50,Universidad A,Ciencias Sociales,Viña del Mar,A. Lo utilizo tanto como puedo (al menos una vez al día),3,3,2,2,2,2,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,Lo uso para crear ideas  pero finalmente yo modifico  según mis conocimientos ,3,3,3,SI
180,SI,Femenino,29,Universidad A,Ciencias Sociales,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),5,5,5,5,3,5,4,3,3,3,3,3,4,5,4,5,5,4,5,4,4,3,3,4,4,"Lo utilizo para mejorar mi redacción según la finalidad del documento.
Me ayuda bastante aunque se que darle mucho poder a chatpgt no beneficia tanto para el futuro",3,2,4,SI
181,SI,Masculino,25,Universidad A,Ciencias Sociales,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),3,3,2,1,3,3,3,2,2,3,3,4,3,3,2,3,2,1,1,1,1,3,3,4,4,He utilizado la aplicación para encontrar autores o bibliografía que me podria ser util para desarrollar mi investigación.,2,3,2,SI
182,SI,Masculino,21,Universidad A,Medicina y Ciencias de La Salud,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),3,5,5,3,5,5,4,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,3,,3,3,3,SI
183,SI,Femenino,43,Universidad A,Medicina y Ciencias de La Salud,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),2,2,3,3,3,4,5,5,5,5,4,4,3,3,3,3,4,3,3,2,2,5,4,4,5,"Para tener una idea de como plantear una respuesta específica  de la cual no entendía la idea central
Al entregar algunos linemaomtos chatgpt me fue más fácil elaborar y ordenar mis propias ideas ",2,3,2,SI
184,SI,Femenino,22,Universidad A,Medicina y Ciencias de La Salud,Viña del Mar,D. Lo utilizo ocasionalmente (2–3 veces al mes),4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3,3,3,SI
185,SI,Femenino,50,Universidad A,Ciencias Sociales,Viña del Mar,E. Lo utilizo menos de dos veces al mes,2,1,2,1,3,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,5,3,2,5,Para un trabajo solicité ayuda de chat gpt  pero no supe cómo ingresar la información para trabajar y que me diera las respuestas  finalmente lo hice con Google académico de la forma que lo hago siempre. No me hice mayores problemas ,4,4,3,SI
186,SI,Masculino,30,Universidad A,Medicina y Ciencias de La Salud,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),4,3,5,4,4,5,4,4,5,4,4,4,5,5,5,5,5,3,4,4,5,4,3,3,5,Necesitaba ver unas actividades para realizar en una tarea  le expliqué el contexto de mi caso y me dió a modo general una idea de como llevar esas actividades,4,4,4,SI
187,SI,Masculino,22,Universidad A,Ciencias Sociales,Concepción,E. Lo utilizo menos de dos veces al mes,1,1,2,1,1,4,2,1,1,3,1,2,3,1,1,2,1,2,1,1,1,1,1,1,1,No eh usado chat gpt,1,3,2,NO
188,SI,Femenino,49,Universidad A,Ciencias Sociales,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),1,1,2,1,2,2,1,2,1,2,2,1,3,2,1,2,2,2,1,1,1,2,2,2,4,Es una herramienta que a veces la uso para comprar redacción y ortografía mas que nada  para verificar que este bien realizado el documento.,2,2,2,SI
189,SI,Femenino,34,Universidad A,Medicina y Ciencias de La Salud,Concepción,C. Lo utilizo con frecuencia (4–5 veces al mes),5,4,3,3,3,3,3,4,4,3,4,5,5,5,5,5,5,5,4,5,4,4,5,5,4,Solo me lo dieron a conocer,4,4,4,SI
190,SI,Femenino,40,Universidad A,Medicina y Ciencias de La Salud,Concepción,E. Lo utilizo menos de dos veces al mes,1,1,2,1,2,2,3,3,3,3,3,3,2,2,1,1,1,2,1,1,1,1,1,1,1,Debate sobre un tema ,4,4,4,SI
191,SI,Femenino,25,Universidad A,Ciencias Sociales,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),1,1,1,1,1,3,1,2,1,1,1,1,1,2,2,3,1,2,2,2,1,2,1,1,1,escribir una conclusión y solicitar ayuda que me ayudara con palabras mas formales,1,1,3,SI
192,SI,Masculino,27,Universidad A,Ciencias Sociales,Viña del Mar,A. Lo utilizo tanto como puedo (al menos una vez al día),4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4,3,5,4,5,4,Lo he utilizado para apoyo académico de mi tesis y revisión de casos clínicos. Es importante conocer la información teoríaca para no caer en sesgos cognitivos ni éticos considerando sus respuestas cómo absolutas y veridicas científicamente. Si utilizas a Chat Gpt como una herramienta lógica práctica  basada en tu propi información y conscienciente de los aspectos informátivos  es muy útil.,3,3,4,SI
193,SI,Masculino,35,Universidad A,Medicina y Ciencias de La Salud,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),5,3,5,2,3,4,3,3,3,3,3,2,4,5,4,4,4,4,4,4,4,2,3,3,4,Para realizar un ensayo  donde se me juzgo plagió y según mi apreciación el plagio es copiar algo y hacerlo propio de uno.,3,3,3,SI
194,SI,Masculino,35,Universidad A,Ciencias Agrícolas,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,,2,2,2,SI
195,SI,Femenino,23,Universidad A,Ciencias Sociales,Viña del Mar,C. Lo utilizo con frecuencia (4–5 veces al mes),3,3,4,3,4,4,4,4,4,4,4,4,3,4,5,5,5,4,2,3,3,3,4,4,4,Para estudiar para alguna prueba y poder resumir la metería de una forma más explicativa ha sido la forma en la que más me ha ayudado ,4,4,4,SI
196,SI,Masculino,30,Universidad A,Medicina y Ciencias de La Salud,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),5,5,5,3,3,2,4,4,4,4,4,4,3,3,5,5,5,4,4,4,5,4,5,4,4,,3,3,3,SI
197,SI,Masculino,20,Universidad A,Medicina y Ciencias de La Salud,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),4,3,4,4,5,5,5,4,4,5,4,5,5,5,5,5,5,5,4,3,5,5,5,5,3,,3,3,2,SI
198,SI,Femenino,50,Universidad A,Medicina y Ciencias de La Salud,Concepción,C. Lo utilizo con frecuencia (4–5 veces al mes),5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Lo utilice para avanzar en un informe de práctica profesional  buscando ejemplos de un tema específico el beneficio fue que me sirvió como una retroalimentación de otros saberes  experiencias  mejorar la redacción  reflexionar más fácil. ,4,4,4,SI
199,SI,Femenino,22,Universidad A,Ciencias Sociales,Concepción,B. Lo utilizo casi a diario (5–6 veces a la semana o más),4,3,3,2,3,3,4,4,4,3,4,4,4,4,4,3,4,3,3,4,4,4,3,2,3,el utilizarla como herramienta para realizar los trabajos de la universidad  creo que ayuda a rendir mejor y simplificar las tareas cotidianas de manera rapida  podriamos tomar como una limitacion el que es claramente identificable su uso  creo que si bien actualmente puede considerarse no etico el uso del chat gpt se debe ver y educar para lo que es  una herramienta la cual se vuelve cada vez mas masiva y en la que tenemos que eduacar a utilizar de manera correcta y eficiente mas que intentar detener su uso,3,3,3,SI
200,SI,Masculino,51,Universidad A,Ciencias Sociales,A distancia,A. Lo utilizo tanto como puedo (al menos una vez al día),5,5,2,2,5,2,4,3,3,1,2,1,3,3,5,4,4,4,4,2,3,2,2,2,5,Si puedo,3,3,3,SI
201,SI,Femenino,28,Universidad A,Medicina y Ciencias de La Salud,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),3,2,2,2,3,3,3,2,2,2,2,2,4,4,4,4,4,4,4,3,3,2,2,2,5,En general lo he encontrado bueno que que responde todo lo que yo quiero de una manera eficiente. ,4,3,3,SI
202,SI,Femenino,31,Universidad A,Medicina y Ciencias de La Salud,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),3,3,4,4,5,5,4,4,4,5,4,2,4,5,5,5,5,5,5,5,5,3,4,3,5,En el manejo dietario de un pediatrico  no entregó recomendaciones actualizadas básicas. Aunque utilice el formato e ideas  modifiqué a las recomendaciones actualizadas. Actualmente la sigo utilizando con el mismo enfoque  estructura e ideas  pero cómo todo en el area de la salud  busco evidencia que respalde lo que entrega,3,3,3,SI
203,SI,Masculino,40,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,no he usado nunca chatGPT  solo un par de veces use Gemini de google para informacion de un trabajo   desconozco como usar ChatGPT en el trabajo y creo que eticamente lo usaria como una herramienta  pero jamas para estudiar.,4,3,3,NO
204,SI,Femenino,34,Universidad A,Medicina y Ciencias de La Salud,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),2,3,2,1,1,3,2,1,1,3,2,2,2,3,2,2,1,3,3,2,1,2,1,1,3,Lo utilice para poder saber si estaba segura de mis respuestas  pero no fue así  tuve varios errores ,3,2,3,SI
